TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_158,24,167,48,65
Task_159,81,163,86,23
Task_160,43,172,46,99
Task_161,37,125,42,81
Task_162,42,81,13,31
Task_163,50,133,86,46
Task_164,4,56,21,51
Task_165,96,84,28,25
Task_166,95,147,82,97
Task_167,34,52,24,54
Task_168,17,92,20,92
Task_169,72,164,47,19
Task_170,59,165,26,14
Task_171,40,68,13,77
Task_172,85,172,53,28
Task_173,3,114,56,61
Task_174,94,116,95,89
Task_175,23,144,34,67
Task_176,94,73,79,71
Task_177,73,75,17,65
Task_178,55,78,95,25
Task_179,33,131,90,59
Task_180,93,197,94,93
Task_181,36,158,68,19
Task_182,84,80,28,84
Task_183,66,128,72,24
Task_184,8,186,54,91
Task_185,93,50,75,89
Task_186,40,175,46,12
Task_187,1,74,55,11
Task_188,17,71,49,17
Task_189,71,119,32,37
Task_190,70,150,18,96
Task_191,18,95,74,76
Task_192,53,198,42,33
Task_193,73,109,82,39
Task_194,41,50,29,98
Task_195,57,152,71,14
Task_196,25,88,98,94
Task_197,74,95,83,71
Task_198,54,129,40,88
Task_199,95,135,10,34
Task_200,17,113,12,83
Task_201,28,143,20,52
Task_202,3,96,54,48
Task_203,85,107,20,49
Task_204,3,128,10,77
Task_205,89,140,77,52
Task_206,29,97,31,32
Task_207,86,86,83,66
Task_208,35,62,36,13
Task_209,44,184,69,77
Task_210,42,193,12,100
Task_211,58,189,72,50
Task_212,61,118,88,43
Task_213,6,84,37,10
Task_214,78,57,10,32
Task_215,63,119,89,42
Task_216,42,97,94,49
Task_217,84,188,44,62
Task_218,84,121,65,68
Task_219,21,114,83,21
Task_220,86,168,21,20
Task_221,90,76,23,80
Task_222,93,113,10,99
Task_223,56,63,100,65
Task_224,47,175,99,19
Task_225,82,165,48,44
Task_226,73,138,100,19
Task_227,80,104,49,33
Task_228,78,50,43,82
Task_229,9,99,22,53
Task_230,1,167,37,52
Task_231,43,65,44,23
Task_232,23,57,37,11
Task_233,70,150,44,77
Task_234,96,105,63,41
Task_235,40,109,92,48
Task_236,55,198,77,10
Task_237,83,146,37,57
Task_238,62,74,54,91
Task_239,48,124,39,12
Task_240,49,180,30,22
Task_241,37,139,22,57
Task_242,29,198,52,12
Task_243,16,71,97,53
Task_244,85,117,74,27
Task_245,71,61,88,20
Task_246,25,185,44,46
Task_247,76,65,95,55
Task_248,59,70,89,32
Task_249,82,110,20,36
Task_250,68,145,37,93
Task_251,94,167,87,22
Task_252,7,173,57,46
Task_253,53,155,33,87
Task_254,75,141,53,91
Task_255,2,51,22,61
Task_256,74,194,12,77
Task_257,30,126,25,92
Task_258,9,121,72,32
Task_259,81,168,100,12
Task_260,69,193,42,63
Task_261,67,178,10,97
Task_262,90,104,98,26
Task_263,96,182,93,52
Task_264,98,173,48,81
Task_265,9,91,86,78
Task_266,53,143,18,64
Task_267,42,56,28,67
Task_268,44,123,20,57
Task_269,63,170,32,12
Task_270,96,198,49,57
Task_271,30,113,18,23
Task_272,65,64,21,93
Task_273,84,119,25,89
Task_274,30,165,39,31
Task_275,55,84,57,88
Task_276,50,116,20,73
Task_277,51,74,37,46
Task_278,31,159,62,25
Task_279,15,132,89,51
Task_280,63,187,49,39
